Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1963.0,10.0,13.0,5.0,17.0,53.4,4.0,1.0,8.5,0.0,RUSSIA,S. KURIL ISLANDS,44.772,149.798,4.5,90.0,2.3,2.5,,,,,,,,
1846.0,10.0,14.0,11.0,15.0,,3.0,1.0,,0.0,ITALY,TUSCANY,,,,0.0,,,,,,,,,,
1919.0,2.0,13.0,,,,2.0,0.0,,0.0,INDONESIA,TIMOR SEA,-9.0,124.85,,1.0,,1.5,,,,,,1.0,,
1904.0,9.0,7.0,,,,1.0,1.0,,0.0,INDONESIA,S. JAVA,-7.7,109.0,,1.0,,0.0,,,,,,,,
1855.0,2.0,3.0,,,,4.0,1.0,,0.0,NEW ZEALAND,WHARANUI,-41.93,174.09,,1.0,,,,,,,,,,
1978.0,11.0,29.0,19.0,52.0,47.6,2.0,1.0,7.8,0.0,MEXICO,MEXICO,16.01,-96.591,1.5,1.0,0.6,,9.0,,,,,2.0,,
1891.0,6.0,22.0,23.0,0.0,,2.0,1.0,,0.0,NEW ZEALAND,NEW ZEALAND,-37.4,174.4,,1.0,,,,,,,,,,
2005.0,4.0,10.0,10.0,29.0,11.2,4.0,1.0,6.7,0.0,INDONESIA,KEPULAUAN MENTAWAI,-1.644,99.607,0.4,1.0,,,,,,,,,,
1933.0,4.0,23.0,5.0,57.0,35.0,1.0,1.0,6.4,0.0,GREECE,"COS, DODECANESE",36.759,27.299,2.0,1.0,,2.0,181.0,,,600.0,,3.0,,
2003.0,1.0,22.0,2.0,6.0,34.6,4.0,1.0,7.5,1.0,MEXICO,S. MEXICO,18.77,-104.104,0.61,6.0,,0.5,29.0,,,300.0,,3.0,2005.0,6615.0
